id,customer_id,complete_time,order_total_price,pearls_earned,employee_id
97,831,2025-04-26 13:12:39,14.5,7,25
98,1111,2025-07-11 04:10:45,6.0,3,15
99,1029,2025-03-17 00:47:40,12.25,6,15
100,622,2025-02-24 03:28:50,9.25,4,20
101,1543,2025-07-28 01:29:09,16.5,8,22
102,1372,2024-11-30 01:56:01,15.25,7,28
103,1017,2025-06-30 20:46:44,12.5,6,40
104,667,2024-10-26 18:10:18,10.25,5,33
105,494,2025-09-04 05:57:37,15.75,7,36
106,182,2025-05-28 18:16:28,10.25,5,14
107,1738,2024-12-02 19:21:50,8.0,4,5
108,1303,2025-09-25 04:53:38,7.25,3,45
109,494,2025-04-26 04:22:33,11.75,5,22
110,1945,2025-09-24 20:15:37,13.0,6,47
111,1772,2025-03-10 03:07:26,12.75,6,24
112,532,2025-09-28 17:58:29,11.5,5,17
113,797,2025-05-17 15:23:51,8.0,4,36
114,1805,2025-01-15 09:14:03,13.5,6,5
115,1296,2025-02-09 18:59:27,9.25,4,33
116,751,2025-07-09 06:36:24,7.0,3,20
117,1770,2025-05-09 07:58:20,10.0,5,25
118,1495,2025-07-10 18:37:25,4.25,2,35
119,1224,2025-05-02 12:12:29,3.5,1,40
120,341,2025-04-29 06:43:04,10.75,5,48
121,1478,2025-03-16 04:55:47,14.5,7,41
122,637,2024-12-07 12:20:24,17.0,8,38
123,1760,2025-01-16 19:57:43,4.5,2,20
124,313,2025-03-14 15:15:46,3.5,1,29
125,753,2024-10-14 22:34:54,8.75,4,48
126,890,2025-08-08 22:39:08,14.5,7,50
127,470,2025-09-07 06:44:39,15.75,7,49
128,1363,2024-11-07 21:44:45,6.0,3,8
129,313,2025-03-11 17:46:14,8.25,4,12
130,206,2025-05-16 07:21:28,4.0,2,12
131,162,2025-09-17 00:24:48,12.75,6,30
132,293,2025-05-19 15:06:47,4.25,2,22
133,150,2025-06-06 08:40:41,8.25,4,28
134,1868,2025-07-21 00:11:07,12.0,6,31
135,1400,2025-07-15 18:23:16,11.25,5,44
136,1741,2024-11-20 19:09:55,14.25,7,35
137,376,2024-10-28 10:24:27,11.75,5,4
138,1656,2025-07-31 03:34:34,16.25,8,14
139,1358,2025-07-02 07:50:12,14.0,7,39
140,1416,2025-04-24 04:36:10,14.0,7,16
141,769,2025-06-04 14:22:57,3.5,1,12
142,1713,2025-06-09 21:08:11,9.0,4,46
143,632,2025-06-29 20:23:38,10.0,5,13
144,500,2024-12-30 10:25:32,4.5,2,29
145,199,2025-09-24 05:30:50,3.75,1,12
146,351,2025-09-01 01:17:16,10.75,5,43
147,709,2024-12-28 17:25:48,4.25,2,47
148,1692,2025-03-11 03:03:49,14.5,7,13
149,13,2025-03-08 02:20:05,11.0,5,24
150,877,2025-07-30 17:18:46,8.0,4,2
151,1016,2025-08-01 15:55:26,5.5,2,37
152,1286,2024-11-02 23:42:31,8.25,4,47
153,353,2024-10-03 05:54:01,7.0,3,8
154,1436,2025-07-27 16:25:05,9.5,4,20
155,829,2025-03-19 18:11:06,12.0,6,11
156,871,2025-08-17 07:11:48,14.5,7,18
157,1694,2025-02-26 23:11:13,13.25,6,10
158,1563,2025-06-08 16:16:16,7.5,3,17
159,234,2024-12-28 09:32:33,12.5,6,19
160,1486,2025-04-25 09:15:29,3.5,1,17
161,516,2025-03-29 06:58:01,10.0,5,2
162,717,2024-11-11 23:54:55,15.75,7,50
163,999,2025-04-27 08:36:12,14.75,7,47
164,1733,2024-10-21 14:11:16,14.5,7,44
165,1156,2025-07-16 03:18:43,14.0,7,43
166,1645,2025-06-28 00:05:00,4.75,2,33
167,229,2025-05-12 07:33:51,4.0,2,39
168,1292,2024-11-14 05:37:43,14.0,7,11
169,85,2025-06-05 00:07:22,8.5,4,16
170,716,2025-01-20 23:07:00,5.5,2,17
171,1267,2025-01-05 06:23:30,3.75,1,13
172,1789,2025-06-06 10:12:05,3.5,1,41
173,297,2025-03-01 15:01:03,5.5,2,31
174,373,2024-10-18 03:25:47,12.0,6,32
175,1223,2025-03-17 18:02:28,4.75,2,17
176,48,2025-08-01 18:03:13,4.5,2,14
177,1912,2025-09-16 21:56:42,8.5,4,50
178,1270,2025-09-24 04:04:46,6.5,3,25
179,1413,2024-11-07 18:59:36,9.0,4,37
180,385,2025-09-08 17:30:38,10.0,5,42
181,285,2025-07-03 23:21:04,3.75,1,8
182,1645,2025-07-18 11:52:12,8.25,4,43
183,1990,2025-07-28 01:07:45,10.5,5,31
184,536,2025-06-10 10:07:16,14.0,7,23
185,727,2024-10-11 22:12:25,4.25,2,34
186,1563,2025-01-02 14:30:11,13.75,6,9
187,938,2024-11-12 17:24:25,8.0,4,31
188,242,2025-03-19 15:18:24,11.75,5,7
189,507,2025-08-28 23:09:18,8.5,4,18
190,1431,2025-03-06 11:43:49,12.5,6,15
191,695,2025-08-10 12:55:08,12.25,6,5
192,1063,2025-08-04 09:40:04,16.5,8,31
193,1894,2025-07-15 18:51:16,6.0,3,36
194,1793,2024-11-07 10:20:21,9.25,4,32
195,407,2025-05-16 04:21:24,3.75,1,20
196,1183,2025-04-27 15:15:34,8.5,4,25
197,430,2025-01-25 03:38:30,3.75,1,42
198,461,2025-03-10 09:03:47,8.5,4,4
199,973,2025-06-19 12:25:37,10.25,5,24
200,178,2025-07-20 22:47:25,8.75,4,46
201,1777,2025-03-10 18:04:58,11.5,5,1
202,1991,2024-12-11 23:01:03,15.0,7,31
203,1593,2024-12-24 09:31:27,4.5,2,39
204,536,2024-10-05 06:55:56,3.5,1,1
205,983,2025-08-01 17:23:02,4.5,2,5
206,1423,2024-10-05 00:22:36,7.5,3,44
207,1756,2025-08-13 20:52:41,6.0,3,1
208,819,2025-03-29 11:17:54,10.0,5,50
209,1791,2025-07-15 05:55:41,4.0,2,43
210,1560,2025-04-20 19:24:09,8.25,4,42
211,244,2025-07-21 15:06:59,8.75,4,34
212,1944,2025-04-15 18:08:14,3.5,1,37
213,757,2025-08-14 23:01:10,4.25,2,32
214,891,2025-07-02 18:11:50,7.75,3,26
215,1454,2025-05-15 13:24:05,9.5,4,32
216,1907,2025-02-02 13:23:37,3.75,1,5
217,1956,2024-12-01 08:01:56,11.25,5,26
218,1285,2024-10-18 08:10:34,3.5,1,20
219,491,2024-11-26 18:38:52,4.25,2,37
220,1141,2025-02-11 02:18:01,10.25,5,48
221,213,2025-05-24 21:01:43,11.0,5,10
222,849,2024-12-14 13:21:26,8.75,4,37
223,221,2025-03-03 04:42:36,3.5,1,31
224,1238,2025-01-27 09:51:00,3.5,1,39
225,247,2025-01-14 13:16:52,11.5,5,1
226,1293,2025-06-05 08:03:07,4.25,2,38
227,1141,2025-04-19 11:18:14,13.25,6,12
228,125,2025-07-31 06:41:18,3.75,1,46
229,1790,2025-03-31 01:45:19,7.5,3,36
230,337,2025-03-12 13:23:45,14.75,7,23
231,1013,2025-07-21 01:02:25,4.5,2,26
232,968,2025-07-02 11:09:24,4.5,2,8
233,1833,2025-03-05 00:28:18,12.0,6,33
234,1267,2024-11-27 21:00:58,9.5,4,11
235,1868,2025-03-21 10:36:49,3.75,1,11
236,541,2025-07-24 02:30:48,5.5,2,16
237,1284,2024-12-04 11:22:02,8.5,4,1
238,1431,2025-05-13 07:36:53,6.5,3,42
239,860,2025-03-09 22:43:10,10.75,5,30
240,51,2025-08-19 17:26:41,12.5,6,16
241,584,2025-08-10 18:10:12,3.75,1,1
242,452,2024-10-12 05:42:51,7.5,3,16
243,546,2025-08-05 08:33:52,10.75,5,35
244,896,2025-08-08 16:05:32,13.5,6,38
245,1951,2025-01-18 19:56:38,3.75,1,38
246,765,2025-04-19 02:11:36,6.5,3,33
247,1822,2025-03-12 15:41:11,4.0,2,8
248,1093,2025-01-02 21:23:30,9.5,4,25
249,549,2024-11-04 18:38:17,11.25,5,13
250,1880,2025-04-13 00:55:37,14.75,7,42
251,114,2025-07-20 11:12:03,13.0,6,13
252,950,2025-06-16 17:30:17,12.5,6,20
253,552,2025-01-31 22:07:16,7.5,3,39
254,639,2025-09-19 19:19:58,8.5,4,33
255,1735,2025-06-10 22:45:59,16.0,8,17
256,596,2025-09-11 19:29:39,4.75,2,24
257,1471,2025-02-15 22:25:13,4.75,2,12
258,242,2025-09-07 22:54:30,12.5,6,49
259,250,2025-01-01 11:36:04,14.0,7,46
260,37,2025-04-11 16:22:00,12.0,6,27
261,455,2025-06-17 18:34:51,13.25,6,18
262,1995,2025-02-02 18:56:07,5.5,2,41
263,832,2025-06-21 03:53:30,10.75,5,36
264,865,2025-05-19 05:14:45,8.75,4,29
265,1236,2025-07-09 23:11:01,3.5,1,2
266,973,2025-08-24 13:07:46,10.5,5,18
267,1206,2025-06-28 20:44:58,3.5,1,4
268,967,2024-12-01 20:23:52,4.5,2,39
269,1994,2025-04-10 06:29:35,9.0,4,7
270,210,2025-02-23 17:38:03,7.5,3,7
271,979,2025-01-01 16:10:17,4.25,2,41
272,642,2025-06-09 11:13:04,11.5,5,7
273,755,2025-07-24 04:20:09,12.5,6,28
274,235,2025-06-10 00:15:39,4.5,2,9
275,714,2025-08-09 08:04:11,7.5,3,19
276,501,2025-09-07 16:35:57,10.0,5,25
277,222,2024-12-09 23:49:19,3.5,1,43
278,387,2024-12-25 20:18:54,9.25,4,46
279,1889,2024-11-20 08:38:21,3.75,1,25
280,20,2024-12-19 10:21:32,13.25,6,44
281,1793,2024-10-30 14:22:06,3.5,1,4
282,25,2025-04-29 17:44:55,11.5,5,10
283,127,2025-01-28 23:24:05,13.5,6,35
284,772,2025-08-14 04:33:41,12.5,6,42
285,100,2024-12-19 10:11:22,14.0,7,12
286,805,2025-03-03 07:19:27,11.5,5,43
287,254,2024-10-10 17:23:20,12.5,6,14
288,1894,2025-04-01 03:22:56,6.0,3,43
289,1235,2025-07-04 19:29:19,3.75,1,11
290,873,2024-10-11 23:50:05,6.0,3,24
291,1969,2024-10-12 11:42:05,4.25,2,6
292,287,2025-02-02 14:15:49,8.0,4,42
293,567,2024-12-01 07:42:42,3.5,1,11
294,1819,2025-06-12 01:05:46,4.25,2,11
295,796,2024-12-12 05:00:53,9.5,4,38
296,1025,2024-12-29 21:02:32,15.25,7,13
297,67,2025-02-16 12:32:15,10.75,5,41
298,1177,2025-07-14 00:05:11,7.75,3,29
299,1130,2024-12-11 04:38:03,11.5,5,45
300,1306,2025-08-29 20:48:15,4.5,2,7
301,258,2024-11-15 05:39:23,12.5,6,41
302,168,2025-07-21 23:03:33,3.5,1,2
303,1325,2025-05-18 03:36:35,8.25,4,27
304,568,2025-04-20 09:04:42,12.0,6,18
305,1524,2025-06-10 22:42:32,3.75,1,32
306,1457,2025-09-18 02:43:23,4.25,2,44
307,531,2025-06-20 22:57:40,8.0,4,37
308,1748,2025-04-30 01:41:24,14.75,7,5
309,1596,2025-08-13 15:27:26,12.0,6,29
310,79,2025-06-18 06:35:27,4.25,2,1
311,1477,2024-12-22 22:20:46,3.75,1,31
312,1181,2025-01-22 07:17:27,10.75,5,34
313,778,2025-04-10 05:03:37,6.0,3,42
314,1401,2025-07-23 13:10:26,11.75,5,42
315,469,2025-07-23 08:11:34,14.0,7,16
316,1294,2025-03-22 15:10:39,13.25,6,12
317,986,2025-09-10 13:03:23,8.25,4,13
318,1195,2024-12-07 15:09:04,16.0,8,21
319,872,2025-08-23 10:18:37,15.0,7,45
320,1191,2025-01-13 14:55:23,3.5,1,20
321,1382,2024-11-16 05:25:58,8.0,4,19
322,595,2024-12-20 12:48:38,8.5,4,44
323,1225,2025-02-20 05:10:02,8.0,4,28
324,1590,2025-09-11 14:55:34,6.0,3,20
325,1903,2024-11-20 01:09:00,3.5,1,3
326,1456,2025-03-09 03:29:59,4.0,2,26
327,994,2025-08-20 05:42:25,4.25,2,7
328,933,2024-11-29 13:26:36,12.25,6,39
329,547,2025-03-22 08:07:34,11.25,5,25
330,1170,2024-12-10 10:11:54,8.5,4,12
331,1327,2025-07-17 21:15:57,6.0,3,27
332,253,2025-08-03 15:39:15,10.0,5,37
333,737,2024-10-26 22:53:10,7.5,3,3
334,71,2025-02-09 18:11:10,12.75,6,42
335,164,2025-08-22 17:35:29,12.5,6,41
336,1287,2025-06-23 06:56:07,13.75,6,44
337,874,2025-03-16 10:03:35,8.0,4,45
338,1516,2025-09-12 16:17:06,8.75,4,44
339,1359,2025-05-25 19:35:03,12.5,6,28
340,1664,2025-01-28 00:41:16,8.5,4,24
341,1430,2025-06-20 05:56:36,15.75,7,46
342,1821,2025-05-13 05:48:57,3.5,1,26
343,583,2025-01-07 02:40:01,11.75,5,19
344,836,2025-02-21 13:12:24,12.5,6,44
345,195,2024-11-22 00:09:04,3.5,1,44
346,168,2024-12-20 03:54:51,4.75,2,42
347,554,2024-11-21 07:43:31,10.0,5,27
348,139,2024-12-14 18:53:20,4.25,2,17
349,1947,2025-03-12 04:39:29,8.5,4,48
350,1718,2025-05-19 14:12:14,13.0,6,18
351,881,2024-10-26 22:39:14,10.5,5,33
352,171,2025-01-05 10:14:10,9.0,4,36
353,366,2024-12-25 03:29:53,6.0,3,27
354,1623,2025-03-20 11:09:34,9.5,4,18
355,1388,2025-07-15 02:24:59,15.5,7,38
356,1352,2025-09-20 13:14:08,4.25,2,19
357,482,2025-02-15 23:09:26,4.0,2,36
358,1116,2024-11-05 21:31:43,7.5,3,10
359,713,2025-09-29 07:30:04,9.0,4,1
360,1822,2025-04-06 12:12:35,11.75,5,20
361,1873,2025-04-18 16:11:04,4.75,2,22
362,633,2025-03-23 10:38:26,8.0,4,1
363,663,2024-10-31 03:49:07,12.5,6,25
364,699,2025-07-09 05:59:25,4.25,2,18
365,1038,2025-09-23 04:36:51,14.25,7,14
366,1435,2024-12-20 12:16:10,9.0,4,28
367,776,2025-05-10 22:40:41,14.0,7,24
368,566,2024-11-15 16:58:38,6.5,3,33
369,1406,2025-09-20 10:59:23,10.25,5,5
370,556,2024-12-14 19:05:57,7.5,3,3
371,1211,2025-07-06 02:21:03,12.0,6,26
372,167,2025-03-18 09:05:44,7.25,3,40
373,694,2025-02-22 23:36:28,9.5,4,46
374,117,2025-08-03 19:14:42,13.0,6,35
375,1500,2024-12-13 11:18:18,7.75,3,1
376,1257,2025-08-26 22:19:26,10.25,5,6
377,1391,2024-10-04 01:50:16,10.0,5,8
378,1676,2025-10-01 08:34:13,7.25,3,30
379,622,2024-12-11 08:48:23,7.75,3,3
380,1349,2025-06-12 22:28:23,8.25,4,17
381,1138,2025-09-11 04:31:42,12.75,6,38
382,1398,2025-09-20 02:48:00,4.25,2,50
383,1964,2025-02-25 13:46:39,8.0,4,7
384,653,2025-07-21 23:56:27,5.5,2,6
385,1934,2025-03-03 09:34:02,3.75,1,9
386,1165,2025-08-08 00:11:59,8.0,4,9
387,85,2025-07-15 09:27:04,12.75,6,27
388,785,2025-07-19 23:36:46,8.75,4,44
389,1431,2025-01-20 08:14:01,3.75,1,44
390,1039,2024-12-04 16:22:37,3.75,1,22
391,590,2025-07-07 22:56:02,4.75,2,6
392,652,2025-04-30 09:25:10,10.0,5,46
393,596,2024-12-07 02:24:41,12.75,6,8
394,313,2025-01-07 18:44:20,7.75,3,12
395,1332,2025-01-09 00:32:23,9.75,4,22
396,1754,2025-06-16 03:26:42,3.5,1,35
397,1354,2025-02-08 14:50:03,12.25,6,4
398,358,2024-12-16 10:46:47,14.5,7,46
399,974,2025-01-02 22:19:29,14.75,7,4
400,1896,2024-12-03 05:20:49,10.0,5,43
401,851,2025-01-22 09:06:36,10.0,5,42
402,1308,2024-11-22 04:59:30,6.0,3,32
403,393,2025-06-13 12:23:40,14.5,7,32
404,324,2025-09-22 12:56:38,6.5,3,40
405,1644,2024-12-05 12:34:34,9.5,4,32
406,740,2025-01-23 05:53:47,11.25,5,16
407,388,2024-10-15 17:58:52,9.0,4,29
408,795,2024-10-31 09:56:18,15.25,7,5
409,1369,2025-09-05 03:13:56,5.5,2,38
410,865,2025-02-13 12:08:59,4.0,2,2
411,524,2025-03-02 00:03:41,3.75,1,30
412,376,2025-04-18 09:42:25,7.75,3,7
413,147,2025-01-15 15:30:48,12.25,6,43
414,1722,2025-03-24 07:18:45,9.0,4,7
415,1388,2025-08-02 07:26:37,4.75,2,29
416,196,2024-11-28 13:15:56,12.0,6,28
417,432,2025-06-22 16:20:01,6.0,3,8
418,888,2024-12-19 19:58:20,14.25,7,38
419,1444,2025-02-24 04:23:45,11.5,5,43
420,1935,2025-03-08 22:29:58,12.25,6,12
421,626,2025-03-09 17:35:23,11.5,5,5
422,1959,2025-02-05 14:22:06,10.25,5,10
423,925,2025-05-06 05:25:50,6.0,3,41
424,1185,2025-05-09 12:06:52,3.5,1,16
425,1823,2025-04-22 19:40:56,13.75,6,29
426,313,2024-12-09 06:50:21,11.75,5,29
427,1189,2025-08-11 20:58:34,3.75,1,28
428,1370,2024-12-30 22:09:45,10.0,5,38
429,277,2025-08-21 11:36:18,10.5,5,5
430,1336,2025-08-01 13:04:25,14.0,7,30
431,953,2025-02-07 20:07:59,4.5,2,30
432,988,2024-10-04 01:46:32,7.75,3,23
433,1530,2025-03-23 11:44:59,9.0,4,39
434,1004,2025-08-13 23:10:37,8.5,4,37
435,1419,2025-05-21 16:01:44,10.5,5,19
436,832,2025-07-26 17:40:47,13.5,6,6
437,682,2025-08-16 14:30:44,3.75,1,43
438,131,2025-03-22 04:59:16,9.0,4,34
439,1217,2025-03-29 06:35:58,11.75,5,28
440,416,2025-02-21 06:51:34,14.0,7,30
441,1417,2025-07-05 06:14:17,8.25,4,36
442,369,2025-06-05 21:34:51,4.25,2,1
443,1213,2025-03-07 06:23:21,12.5,6,32
444,142,2024-10-14 21:16:59,4.0,2,27
445,1923,2024-12-01 11:04:12,11.75,5,12
446,1325,2025-07-12 16:09:05,15.0,7,26
447,1278,2025-03-23 09:08:02,11.5,5,40
448,1072,2025-06-21 23:24:13,8.75,4,5
449,1340,2024-10-31 16:28:11,13.5,6,19
450,723,2025-02-02 13:45:46,8.0,4,9
451,815,2025-01-18 03:19:41,7.25,3,40
452,210,2025-06-09 03:06:45,12.0,6,44
453,297,2024-11-04 21:33:48,4.5,2,48
454,1044,2024-11-05 02:52:25,4.25,2,1
455,1189,2025-09-15 14:06:51,12.0,6,33
456,1272,2024-10-09 10:49:37,12.5,6,40
457,1501,2025-02-19 02:47:02,6.5,3,25
458,413,2025-09-02 17:59:39,4.25,2,19
459,1884,2025-09-02 18:55:27,10.5,5,42
460,1150,2025-03-30 08:37:06,6.0,3,7
461,359,2025-02-26 10:39:38,6.0,3,43
462,333,2025-03-04 05:17:21,12.0,6,15
463,1393,2025-02-22 15:35:47,4.75,2,17
464,122,2025-09-12 14:21:25,7.0,3,21
465,1231,2024-10-11 10:12:34,13.0,6,5
466,1028,2025-08-09 05:38:46,4.25,2,14
467,1569,2025-02-16 12:31:42,3.5,1,20
468,251,2025-01-18 21:29:01,9.75,4,40
469,1944,2024-10-29 02:11:30,13.5,6,12
470,317,2025-08-17 06:13:26,5.5,2,16
471,1032,2025-03-26 20:55:19,10.0,5,38
472,524,2025-05-20 01:17:01,4.5,2,46
473,427,2025-08-15 17:40:49,3.5,1,45
474,766,2025-06-24 22:27:43,3.5,1,24
475,1802,2025-03-16 14:30:27,8.25,4,17
476,1952,2025-09-14 02:16:05,11.75,5,46
477,810,2025-09-08 11:59:09,4.0,2,31
478,761,2025-02-11 07:05:14,4.5,2,6
479,764,2024-12-26 15:42:19,4.5,2,41
480,1618,2025-08-07 06:09:52,9.25,4,2
481,1176,2025-09-30 07:14:20,3.75,1,23
482,1360,2025-03-12 23:12:47,14.0,7,50
483,593,2024-12-05 09:04:30,6.0,3,4
484,361,2024-11-22 05:38:38,8.25,4,19
485,854,2024-12-08 13:18:15,8.75,4,29
486,1210,2025-04-21 22:22:37,6.0,3,25
487,1811,2025-05-14 08:48:10,4.75,2,33
488,16,2024-12-16 23:22:32,10.25,5,7
489,682,2024-11-18 21:34:31,4.5,2,21
490,1150,2024-12-19 06:49:51,10.75,5,39
491,1748,2024-11-17 04:31:14,13.75,6,39
492,901,2025-01-07 12:37:43,9.5,4,13
493,1422,2024-12-26 18:02:02,12.25,6,24
494,157,2024-11-14 12:00:38,7.5,3,31
495,1737,2025-02-17 07:19:43,6.5,3,49
496,860,2025-04-20 22:10:38,12.75,6,30
497,1362,2025-02-12 07:32:58,3.75,1,24
498,524,2025-04-06 04:21:04,4.25,2,42
499,1311,2025-01-10 10:17:20,14.5,7,26
500,186,2025-08-27 00:54:12,12.25,6,23
501,1397,2025-03-03 03:53:43,12.0,6,41
502,67,2024-10-06 08:27:05,7.0,3,17
503,951,2025-02-09 21:24:18,9.0,4,31
504,19,2025-03-02 00:18:09,6.0,3,15
505,1605,2025-09-01 03:51:41,4.5,2,15
506,1598,2025-02-21 17:44:08,7.75,3,12
507,301,2025-05-20 23:26:12,11.5,5,2
508,1343,2025-08-22 10:22:35,12.5,6,35
509,852,2025-05-27 20:07:37,10.0,5,31
510,109,2025-03-30 23:28:25,14.0,7,10
511,477,2025-02-04 11:35:47,10.75,5,33
512,164,2025-08-12 04:59:54,13.75,6,32
513,690,2025-09-23 19:04:55,9.0,4,15
514,227,2024-10-06 04:46:48,8.0,4,46
515,846,2025-07-28 01:49:07,13.0,6,2
516,406,2025-08-06 17:29:29,8.75,4,39
517,1708,2025-01-25 18:15:51,14.75,7,28
518,1763,2024-10-08 16:59:58,3.5,1,38
519,1885,2024-11-19 19:13:11,7.75,3,47
520,1978,2025-02-13 07:32:33,4.5,2,3
521,897,2025-01-21 00:20:45,11.75,5,12
522,1189,2024-10-27 16:08:01,7.5,3,49
523,204,2025-08-14 07:35:17,14.75,7,48
524,1168,2025-06-09 15:42:56,11.75,5,14
525,756,2025-09-29 11:37:28,4.0,2,4
526,511,2025-03-15 17:09:56,7.25,3,26
527,200,2025-03-16 04:35:38,4.0,2,8
528,550,2024-10-28 22:39:49,9.5,4,12
529,1277,2025-01-31 13:34:35,8.5,4,49
530,1050,2025-05-13 04:32:11,3.75,1,26
531,929,2025-09-24 06:12:28,3.5,1,18
532,157,2025-05-04 16:02:24,8.25,4,2
533,1499,2025-04-25 09:43:12,3.5,1,6
534,171,2025-08-13 16:14:44,3.75,1,9
535,348,2024-11-15 06:01:25,11.75,5,41
536,990,2025-09-03 19:24:27,4.75,2,23
537,488,2024-12-09 16:03:39,6.0,3,23
538,1910,2024-12-28 08:31:39,8.5,4,3
539,1301,2025-05-20 11:56:51,14.25,7,30
540,1592,2025-01-11 15:43:59,6.0,3,24
541,1307,2025-03-16 09:52:33,14.0,7,30
542,1955,2025-01-31 08:17:51,10.25,5,14
543,1769,2025-09-13 17:48:10,8.25,4,30
544,866,2025-03-14 06:40:30,4.0,2,26
545,62,2025-04-01 03:34:08,12.25,6,8
546,395,2024-12-14 17:43:41,14.0,7,16
547,383,2025-02-14 05:28:07,3.75,1,45
